Seq No.,Location,AccX,AccY,AccZ,Classs
20,Kidnapping,2.605000019,-2.144999981,8.734000206,1
21,Kidnapping,1.531999946,-1.684999943,6.43599987,1
22,Kidnapping,2.605000019,-1.991999984,10.42000008,1
23,Kidnapping,4.902999878,-0.91900003,11.18599987,1
24,Kidnapping,5.05700016,-1.684999943,8.734000206,1
25,Kidnapping,1.531999946,-1.991999984,9.5,1
26,Kidnapping,4.443999767,-1.531999946,6.43599987,1
27,Kidnapping,3.217999935,-0.91900003,9.347000122,1
28,Kidnapping,3.983999968,-2.144999981,9.347000122,1
29,Kidnapping,3.371000051,-2.298000097,7.967999935,1
30,Kidnapping,4.597000122,-0.91900003,8.887000084,1
31,Kidnapping,3.677999973,-1.838000059,8.274000168,1
32,Kidnapping,5.362999916,-1.838000059,7.660999775,1
33,Kidnapping,5.362999916,-0.765999973,8.274000168,1
34,Kidnapping,6.43599987,-1.684999943,6.894999981,1
35,Kidnapping,4.75,-1.531999946,5.669000149,1
36,Kidnapping,8.887999535,-2.144999981,8.887000084,1
37,Kidnapping,7.507999897,-3.063999891,8.887000084,1
38,Kidnapping,5.362999916,-5.362999916,10.57299995,1
39,Kidnapping,-1.225000024,-12.71800041,9.960000038,1
40,Kidnapping,4.75,-11.95199966,7.355000019,1
41,Kidnapping,4.597000122,-8.274000168,6.589000225,1
42,Kidnapping,6.589000225,-1.072000027,11.79899979,1
43,Kidnapping,1.225999951,2.144999981,7.507999897,1
44,Kidnapping,0.305999994,0,8.734000206,1
45,Kidnapping,3.983999968,5.056000233,2.757999897,1
46,Kidnapping,1.072999954,5.975999832,13.63799953,1
47,Kidnapping,19.30800056,3.063999891,2.144999981,1
48,Kidnapping,-12.87100029,-2.144999981,-3.369999886,1
49,Kidnapping,-0.764999986,4.75,-3.369999886,1
50,Kidnapping,0.612999976,4.289999962,-12.87100029,1
1,Kidnapping,7.662000179,5.975999832,1.225999951,1
2,Kidnapping,7.967999935,6.129000187,0.458999991,1
3,Kidnapping,7.815000057,5.822000027,-1.225000024,1
4,Kidnapping,5.670000076,6.129000187,-3.063999891,1
5,Kidnapping,6.742000103,7.047999859,-2.144999981,1
6,Kidnapping,6.742000103,7.047999859,-3.98300004,1
7,Kidnapping,6.895999908,6.129000187,-2.604000092,1
8,Kidnapping,6.895999908,6.589000225,-1.531999946,1
9,Kidnapping,6.129000187,7.047999859,-1.225000024,1
10,Kidnapping,6.589000225,6.589000225,-1.378000021,1
11,Kidnapping,6.43599987,7.81400013,-2.756999969,1
12,Kidnapping,6.129000187,8.12100029,-1.072000027,1
13,Kidnapping,4.443999767,6.434999943,-0.305999994,1
14,Kidnapping,5.822999954,7.047999859,0.305999994,1
15,Kidnapping,6.282999992,5.975999832,-3.217000008,1
16,Kidnapping,6.589000225,5.975999832,-2.756999969,1
17,Kidnapping,7.202000141,7.202000141,-3.523999929,1
18,Kidnapping,7.202000141,6.894999981,-1.378000021,1
19,Kidnapping,7.815000057,6.434999943,-2.911000013,1
20,Kidnapping,7.967999935,6.282000065,-1.991000056,1
21,Kidnapping,7.507999897,7.660999775,0.152999997,1
22,Kidnapping,8.581000328,5.515999794,-1.378000021,1
23,Kidnapping,6.282999992,6.589000225,-0.611999989,1
24,Kidnapping,3.677999973,9.039999962,1.684999943,1
25,Kidnapping,3.983999968,8.581000328,0.765999973,1
26,Kidnapping,4.443999767,9.80700016,0.765999973,1
27,Kidnapping,2.451999903,8.734000206,2.450999975,1
28,Kidnapping,5.670000076,7.202000141,-0.764999986,1
29,Kidnapping,3.83100009,9.039999962,-1.684999943,1
30,Kidnapping,3.677999973,7.81400013,-3.063999891,1
31,Kidnapping,5.515999794,8.12100029,1.072000027,1
32,Kidnapping,4.443999767,8.734000206,-2.911000013,1
33,Kidnapping,5.975999832,8.12100029,-0.305999994,1
34,Kidnapping,4.902999878,8.887000084,0.458999991,1
35,Kidnapping,5.05700016,8.427000046,0.458999991,1
36,Kidnapping,5.210000038,8.581000328,-0.611999989,1
37,Kidnapping,4.597000122,8.734000206,2.144999981,1
38,Kidnapping,6.129000187,8.427000046,3.063999891,1
39,Kidnapping,7.662000179,7.202000141,-1.225000024,1
40,Kidnapping,7.507999897,8.734000206,2.757999897,1
41,Kidnapping,4.597000122,9.194000244,-0.764999986,1
42,Kidnapping,2.298000097,7.967999935,3.063999891,1
43,Kidnapping,8.887999535,6.282000065,-3.523999929,1
44,Kidnapping,4.75,9.039999962,1.531999946,1
45,Kidnapping,6.129000187,7.81400013,0.91900003,1
46,Kidnapping,3.983999968,10.11299992,0.458999991,1
47,Kidnapping,3.677999973,11.03199959,0.612999976,1
48,Kidnapping,5.05700016,10.87899971,-0.458999991,1
49,Kidnapping,2.911000013,11.95199966,-1.838000059,1
50,Kidnapping,2.605000019,11.03199959,0.152999997,1
1,Kidnapping,0.765999973,10.11299992,0.458999991,1
2,Kidnapping,0.460000008,10.11299992,-0.91900003,1
3,Kidnapping,1.531999946,7.81400013,-2.144999981,1
4,Kidnapping,3.523999929,9.039999962,-0.611999989,1
5,Kidnapping,3.371000051,8.12100029,-0.152999997,1
6,Kidnapping,0,8.12100029,-1.684999943,1
7,Kidnapping,1.838999987,9.960000038,-1.225000024,1
8,Kidnapping,2.757999897,13.63700008,-1.838000059,1
9,Kidnapping,2.298000097,10.26599979,0.152999997,1
10,Kidnapping,0.91900003,8.887000084,0.612999976,1
11,Kidnapping,0.91900003,10.41899967,0.458999991,1
12,Kidnapping,1.225999951,10.11299992,1.225999951,1
13,Kidnapping,2.911000013,9.5,1.378999949,1
14,Kidnapping,2.144999981,8.734000206,1.225999951,1
15,Kidnapping,4.597000122,11.95199966,-0.458999991,1
16,Kidnapping,3.065000057,12.41100025,-1.072000027,1
17,Kidnapping,5.670000076,10.87899971,-2.911000013,1
18,Kidnapping,3.217999935,10.26599979,-5.974999905,1
19,Kidnapping,3.677999973,7.81400013,-2.298000097,1
20,Kidnapping,3.83100009,8.274000168,-2.144999981,1
21,Kidnapping,3.983999968,8.274000168,-2.756999969,1
22,Kidnapping,4.902999878,8.427000046,-2.604000092,1
23,Kidnapping,4.443999767,8.887000084,-2.144999981,1
24,Kidnapping,4.597000122,8.581000328,-2.298000097,1
25,Kidnapping,4.290999889,7.967999935,-2.298000097,1
26,Kidnapping,6.895999908,7.507999897,-1.072000027,1
27,Kidnapping,6.282999992,5.669000149,-2.144999981,1
28,Kidnapping,9.80700016,4.137000084,1.531999946,1
29,Kidnapping,7.507999897,3.983999968,2.911000013,1
30,Kidnapping,8.274999619,5.056000233,2.911000013,1
31,Kidnapping,5.670000076,3.677000046,5.362999916,1
32,Kidnapping,0.91900003,5.209000111,7.815000057,1
33,Kidnapping,-1.378000021,6.894999981,6.129000187,1
34,Kidnapping,-1.838000059,7.355000019,5.822999954,1
35,Kidnapping,-1.684999943,6.282000065,7.355000019,1
36,Kidnapping,-1.838000059,6.894999981,7.355000019,1
37,Kidnapping,-1.991000056,6.894999981,7.967999935,1
38,Kidnapping,-2.450999975,7.047999859,5.515999794,1
39,Kidnapping,-2.450999975,7.202000141,6.742000103,1
40,Kidnapping,-0.917999983,7.355000019,5.822999954,1
41,Kidnapping,-2.298000097,6.434999943,7.202000141,1
42,Kidnapping,-1.531000018,7.047999859,7.202000141,1
43,Kidnapping,-1.684999943,6.894999981,7.507999897,1
44,Kidnapping,-1.072000027,6.742000103,7.202000141,1
45,Kidnapping,-0.305999994,7.047999859,7.202000141,1
46,Kidnapping,-1.378000021,6.742000103,7.507999897,1
47,Kidnapping,-1.378000021,6.434999943,6.894999981,1
48,Kidnapping,-0.764999986,6.434999943,6.894999981,1
49,Kidnapping,-2.144000053,5.515999794,8.12100029,1
50,Kidnapping,-0.611999989,6.589000225,6.894999981,1
1,Kidnapping,7.048999786,8.274000168,2.144999981,1
2,Kidnapping,3.83100009,9.80700016,2.911000013,1
3,Kidnapping,3.523999929,7.507999897,1.531999946,1
4,Kidnapping,3.371000051,9.5,2.757999897,1
5,Kidnapping,4.290999889,8.12100029,2.298000097,1
6,Kidnapping,4.137000084,8.427000046,1.991999984,1
7,Kidnapping,2.911000013,8.887000084,1.991999984,1
8,Kidnapping,-1.378000021,9.039999962,3.217999935,1
9,Kidnapping,-1.378000021,11.95199966,0.458999991,1
10,Kidnapping,0.765999973,9.194000244,2.298000097,1
11,Kidnapping,0.91900003,9.80700016,1.225999951,1
12,Kidnapping,0.460000008,9.347000122,1.378999949,1
13,Kidnapping,0.612999976,7.967999935,0.305999994,1
14,Kidnapping,3.523999929,11.18599987,-6.742000103,1
15,Kidnapping,0.152999997,7.81400013,-0.611999989,1
16,Kidnapping,3.523999929,14.86299992,-0.611999989,1
17,Kidnapping,-2.604000092,9.5,-4.44299984,1
18,Kidnapping,1.68599999,8.887000084,0,1
19,Kidnapping,0,5.209000111,3.371000051,1
20,Kidnapping,1.838999987,6.589000225,5.210000038,1
21,Kidnapping,1.68599999,9.960000038,-0.764999986,1
22,Kidnapping,0.305999994,1.378999949,0.765999973,1
23,Kidnapping,-19.76600075,19.61400032,19.15399933,1
24,Kidnapping,2.605000019,1.072000027,0.765999973,1
25,Kidnapping,-7.967000008,3.983999968,-12.87100029,1
26,Kidnapping,5.822999954,-2.450999975,5.210000038,1
27,Kidnapping,-1.225000024,-4.902999878,-2.911000013,1
28,Kidnapping,6.282999992,2.604000092,2.911000013,1
29,Kidnapping,5.05700016,1.838000059,9.80700016,1
30,Kidnapping,-0.917999983,0.458999991,9.80700016,1
31,Kidnapping,0,0.152999997,9.80700016,1
32,Kidnapping,2.451999903,0.152999997,9.5,1
33,Kidnapping,-2.450999975,-1.531999946,9.654000282,1
34,Kidnapping,2.757999897,-0.458999991,9.80700016,1
35,Kidnapping,2.757999897,4.597000122,9.80700016,1
36,Kidnapping,0.612999976,1.531999946,9.80700016,1
37,Kidnapping,-1.072000027,-1.991999984,9.80700016,1
38,Kidnapping,-1.378000021,1.684999943,9.5,1
39,Kidnapping,0,0.305999994,9.654000282,1
40,Kidnapping,-0.152999997,0.152999997,9.80700016,1
41,Kidnapping,-0.152999997,0.305999994,9.654000282,1
42,Kidnapping,-0.152999997,0.305999994,9.80700016,1
43,Kidnapping,-1.225000024,3.677000046,9.654000282,1
44,Kidnapping,0.612999976,-0.611999989,9.5,1
45,Kidnapping,-2.144000053,-0.765999973,10.57299995,1
46,Kidnapping,2.298000097,1.072000027,7.815000057,1
47,Kidnapping,-0.458999991,-1.991999984,9.960000038,1
48,Kidnapping,4.137000084,-3.983999968,10.11299992,1
49,Kidnapping,4.290999889,-3.523999929,11.64599991,1
50,Kidnapping,0,-3.371000051,9.194000244,1
1,Kidnapping,-5.514999866,8.734000206,-0.764999986,1
2,Kidnapping,-2.910000086,9.652999878,2.450999975,1
3,Kidnapping,-3.063999891,9.652999878,3.677000046,1
4,Kidnapping,-5.209000111,8.427000046,0.305999994,1
5,Kidnapping,-5.209000111,7.967999935,0.612999976,1
6,Kidnapping,-3.063999891,8.427000046,1.838999987,1
7,Kidnapping,-6.434999943,8.427000046,1.838999987,1
8,Kidnapping,0.152999997,11.18599987,-6.129000187,1
9,Kidnapping,-0.917999983,9.960000038,3.063999891,1
10,Kidnapping,2.144999981,9.5,1.225999951,1
11,Kidnapping,0.305999994,10.11299992,0.612999976,1
12,Kidnapping,-0.764999986,10.11299992,0.765999973,1
13,Kidnapping,0.91900003,8.887000084,3.063999891,1
14,Kidnapping,1.072999954,9.347000122,0,1
15,Kidnapping,-0.152999997,10.41899967,1.225999951,1
